;Tarih;TP_19TR83
0;2010-1;97.44
1;2010-2;97.93
2;2010-3;98.33
3;2010-4;99.46
4;2010-5;99.71
5;2010-6;99.75
6;2010-7;99.3
7;2010-8;100.0
8;2010-9;100.55
9;2010-10;101.96
10;2010-11;102.09
11;2010-12;103.42
12;2011-1;102.14
13;2011-2;103.36
14;2011-3;103.75
15;2011-4;104.34
16;2011-5;105.08
17;2011-6;106.46
18;2011-7;107.27
19;2011-8;107.55
20;2011-9;107.81
21;2011-10;109.2
22;2011-11;109.36
23;2011-12;108.68
24;2012-1;109.65
25;2012-2;110.49
26;2012-3;111.47
27;2012-4;112.48
28;2012-5;113.32
29;2012-6;115.05
30;2012-7;116.2
31;2012-8;116.85
32;2012-9;117.1
33;2012-10;117.53
34;2012-11;118.31
35;2012-12;119.69
36;2013-1;120.65
37;2013-2;122.46
38;2013-3;122.39
39;2013-4;123.18
40;2013-5;123.87
41;2013-6;124.87
42;2013-7;125.07
43;2013-8;125.58
44;2013-9;125.79
45;2013-10;126.26
46;2013-11;127.13
47;2013-12;127.93
48;2014-1;127.37
49;2014-2;127.34
50;2014-3;127.73
51;2014-4;130.03
52;2014-5;132.35
53;2014-6;134.5
54;2014-7;134.91
55;2014-8;135.23
56;2014-9;135.11
57;2014-10;135.15
58;2014-11;136.04
59;2014-12;136.64
60;2015-1;140.73
61;2015-2;141.81
62;2015-3;142.3
63;2015-4;142.78
64;2015-5;144.54
65;2015-6;146.8
66;2015-7;148.9
67;2015-8;149.92
68;2015-9;149.41
69;2015-10;152.13
70;2015-11;152.28
71;2015-12;154.0
72;2016-1;153.33
73;2016-2;155.62
74;2016-3;157.15
75;2016-4;158.11
76;2016-5;162.21
77;2016-6;163.59
78;2016-7;165.71
79;2016-8;165.64
80;2016-9;166.28
81;2016-10;167.2
82;2016-11;169.86
83;2016-12;173.76
84;2017-1;173.85
85;2017-2;174.69
86;2017-3;177.65
87;2017-4;181.16
88;2017-5;184.09
89;2017-6;185.69
90;2017-7;188.52
91;2017-8;190.86
92;2017-9;193.03
93;2017-10;196.42
94;2017-11;199.17
95;2017-12;201.02
96;2018-1;203.82
97;2018-2;206.05
98;2018-3;208.57
99;2018-4;212.5
100;2018-5;215.63
101;2018-6;217.86
102;2018-7;218.59
103;2018-8;221.37
104;2018-9;223.64
105;2018-10;224.94
106;2018-11;226.63
107;2018-12;224.7
108;2019-1;234.0
