;Tarih;TP_FG_J071
0;2003-1;94.26
1;2003-2;97.78
2;2003-3;98.61
3;2003-4;102.7
4;2003-5;102.86
5;2003-6;101.69
6;2003-7;102.69
7;2003-8;101.01
8;2003-9;100.14
9;2003-10;98.8
10;2003-11;99.34
11;2003-12;100.12
12;2004-1;102.57
13;2004-2;103.11
14;2004-3;103.6
15;2004-4;103.64
16;2004-5;104.13
17;2004-6;105.98
18;2004-7;105.32
19;2004-8;98.79
20;2004-9;96.21
21;2004-10;96.43
22;2004-11;103.82
23;2004-12;100.57
24;2005-1;100.51
25;2005-2;101.26
26;2005-3;100.9
27;2005-4;102.86
28;2005-5;104.1
29;2005-6;103.83
30;2005-7;102.68
31;2005-8;102.62
32;2005-9;102.4
33;2005-10;102.54
34;2005-11;102.82
35;2005-12;102.18
36;2006-1;104.52
37;2006-2;105.12
38;2006-3;104.91
39;2006-4;105.66
40;2006-5;107.21
41;2006-6;112.46
42;2006-7;115.97
43;2006-8;116.46
44;2006-9;115.18
45;2006-10;117.05
46;2006-11;116.6
47;2006-12;112.62
48;2007-1;114.46
49;2007-2;116.23
50;2007-3;116.21
51;2007-4;116.41
52;2007-5;114.42
53;2007-6;113.09
54;2007-7;112.97
55;2007-8;112.96
56;2007-9;113.87
57;2007-10;111.51
58;2007-11;110.63
59;2007-12;108.89
60;2008-1;110.35
61;2008-2;110.77
62;2008-3;110.02
63;2008-4;111.81
64;2008-5;112.4
65;2008-6;112.72
66;2008-7;109.28
67;2008-8;108.93
68;2008-9;108.66
69;2008-10;108.04
70;2008-11;107.53
71;2008-12;106.19
72;2009-1;109.32
73;2009-2;111.74
74;2009-3;104.82
75;2009-4;99.75
76;2009-5;100.9
77;2009-6;104.82
78;2009-7;107.37
79;2009-8;107.99
80;2009-9;108.13
81;2009-10;113.7
82;2009-11;115.19
83;2009-12;113.19
84;2010-1;115.11
85;2010-2;115.06
86;2010-3;115.63
87;2010-4;115.92
88;2010-5;116.2
89;2010-6;115.53
90;2010-7;115.86
91;2010-8;115.5
92;2010-9;114.82
93;2010-10;115.23
94;2010-11;114.34
95;2010-12;112.91
96;2011-1;114.6
97;2011-2;118.84
98;2011-3;119.99
99;2011-4;121.66
100;2011-5;121.96
101;2011-6;122.75
102;2011-7;122.77
103;2011-8;125.79
104;2011-9;129.67
105;2011-10;130.95
106;2011-11;130.49
107;2011-12;130.35
108;2012-1;132.71
109;2012-2;132.4
110;2012-3;131.8
111;2012-4;132.34
112;2012-5;132.32
113;2012-6;132.39
114;2012-7;132.32
115;2012-8;132.23
116;2012-9;131.31
117;2012-10;131.36
118;2012-11;130.25
119;2012-12;129.92
120;2013-1;130.62
121;2013-2;133.56
122;2013-3;133.85
123;2013-4;134.0
124;2013-5;134.7
