;Tarih;TP_BEKODTUFE_BT53
0;2017-11;3.03
1;2017-12;3.99
2;2018-1;7.14
3;2018-2;6.45
4;2018-3;5.86
5;2018-4;8.17
6;2018-5;14.35
7;2018-6;15.59
8;2018-7;19.26
9;2018-8;11.33
10;2018-9;9.15
11;2018-10;8.19
12;2018-11;4.04
13;2018-12;7.78
14;2019-1;9.08
15;2019-2;8.36
16;2019-3;6.6
17;2019-4;9.58
18;2019-5;9.52
19;2019-6;11.71
20;2019-7;10.26
21;2019-8;14.91
22;2019-9;12.48
23;2019-10;10.29
24;2019-11;14.13
25;2019-12;13.36
26;2020-1;7.38
27;2020-2;7.81
28;2020-3;8.42
29;2020-4;11.67
30;2020-5;8.31
31;2020-6;7.6
32;2020-7;10.01
33;2020-8;12.07
34;2020-9;11.89
35;2020-10;12.0969
36;2020-11;17.4896
37;2020-12;15.3411
38;2021-1;17.8909
39;2021-2;16.9312
40;2021-3;20.7941
41;2021-4;20.9225
42;2021-5;18.8787
43;2021-6;18.0
44;2021-7;15.25
45;2021-8;9.331
46;2021-9;9.1125
47;2021-10;6.8
48;2021-11;6.048
49;2021-12;4.4666
50;2022-1;3.437
51;2022-2;0.3448
52;2022-3;1.7931
53;2022-4;1.6774
54;2022-5;2.6153
55;2022-6;2.7555
56;2022-7;0.9428
57;2022-8;0.0
58;2022-9;0.0
59;2022-10;0.0
60;2022-11;0.0
61;2022-12;0.72
62;2023-1;4.64
63;2023-2;2.6316
64;2023-3;0.4167
65;2023-4;0.0
66;2023-5;0.0
67;2023-6;2.0571
68;2023-7;1.8
69;2023-8;0.0
70;2023-9;0.0
71;2023-10;0.0
72;2023-11;0.0
