;Tarih;TP_BEK_S05_C_D
0;2013-1;1.85
1;2013-2;1.82
2;2013-3;1.8
3;2013-4;1.85
4;2013-5;1.85
5;2013-6;1.85
6;2013-7;1.9
7;2013-8;1.95
8;2013-9;1.95
9;2013-10;2.05
10;2013-11;2.1
11;2013-12;2.1
12;2014-1;2.2
13;2014-2;2.25
14;2014-3;2.2
15;2014-4;2.25
16;2014-5;2.2
17;2014-6;2.2
18;2014-7;2.25
19;2014-8;2.25
20;2014-9;2.25
21;2014-10;2.35
22;2014-11;2.35
23;2014-12;2.4
24;2015-1;2.4
25;2015-2;2.4
26;2015-3;2.6
27;2015-4;2.7
28;2015-5;2.75
29;2015-6;2.85
30;2015-7;2.8
31;2015-8;2.9
32;2015-9;3.0
33;2015-10;3.2
34;2015-11;3.1
35;2015-12;3.1
36;2016-1;3.3
37;2016-2;3.2
38;2016-3;3.2
39;2016-4;3.2
40;2016-5;3.2
41;2016-6;3.2
42;2016-7;3.1
43;2016-8;3.1
44;2016-9;3.1
45;2016-10;3.25
46;2016-11;3.5
47;2016-12;3.6
48;2017-1;4.0
49;2017-2;4.0
50;2017-3;4.0
51;2017-4;4.0
52;2017-5;3.9
53;2017-6;4.0
54;2017-7;3.9
55;2017-8;3.9
56;2017-9;3.8
57;2017-10;3.9
58;2017-11;4.0
59;2017-12;4.1
60;2018-1;4.25
61;2018-2;4.2
62;2018-3;4.25
63;2018-4;4.4
64;2018-5;4.5
65;2018-6;4.5
66;2018-7;5.25
67;2018-8;6.0
68;2018-9;7.0
69;2018-10;6.4
70;2018-11;6.5
71;2018-12;6.5
72;2019-1;6.25
73;2019-2;6.1
74;2019-3;6.0
75;2019-4;6.3
76;2019-5;7.0
77;2019-6;7.0
78;2019-7;6.5
79;2019-8;6.5
80;2019-9;6.5
81;2019-10;6.3
82;2019-11;6.5
83;2019-12;6.2
84;2020-1;6.5
85;2020-2;6.6
86;2020-3;6.6
87;2020-4;7.0
88;2020-5;7.4
89;2020-6;7.5
90;2020-7;7.5
91;2020-8;7.5
92;2020-9;8.0
93;2020-10;8.5
94;2020-11;8.5
95;2020-12;8.5
96;2021-1;8.3
97;2021-2;7.9
98;2021-3;8.0
99;2021-4;8.6
100;2021-5;8.8
101;2021-6;9.2
102;2021-7;9.2
103;2021-8;9.25
104;2021-9;9.4
105;2021-10;9.5
106;2021-11;11.0
107;2021-12;15.0
108;2022-1;16.0
109;2022-2;16.0
110;2022-3;16.5
111;2022-4;17.5
112;2022-5;20.0
113;2022-6;25.0
114;2022-7;19.0
115;2022-8;19.0
116;2022-9;22.0
117;2022-10;24.0
118;2022-11;24.0
119;2022-12;23.0
120;2023-1;23.0
121;2023-2;23.0
122;2023-3;23.0
123;2023-4;18.0
124;2023-5;23.5
125;2023-6;30.0
126;2023-7;32.0
127;2023-8;32.0
128;2023-9;38.0
129;2023-10;40.0
130;2023-11;40.0
131;2023-12;38.0
132;2024-1;42.0
