;Tarih;TP_PFVPBI01_K13
0;2012-1;5190711.1
1;2012-2;4094409.2
2;2012-3;4124838.1
3;2012-4;4090961.6
4;2012-5;3127804.9
5;2012-6;3099587.0
6;2012-7;3067434.3
7;2012-8;2327964.8
8;2012-9;2324760.8
9;2012-10;2336733.6
10;2012-11;1542429.8
11;2012-12;1547826.1
12;2013-1;1529951.0
13;2013-2;768559.3
14;2013-3;764203.1
15;2013-4;762488.7
16;2013-5;0.0
17;2013-6;0.0
18;2013-7;0.0
19;2013-8;0.0
20;2013-9;0.0
21;2013-10;0.0
22;2013-11;0.0
23;2013-12;0.0
24;2014-1;0.0
25;2014-2;0.0
26;2014-3;0.0
27;2014-4;0.0
28;2014-5;0.0
29;2014-6;0.0
30;2014-7;0.0
31;2014-8;0.0
32;2014-9;0.0
33;2014-10;0.0
34;2014-11;0.0
35;2014-12;0.0
36;2015-1;0.0
37;2015-2;0.0
38;2015-3;0.0
39;2015-4;0.0
40;2015-5;0.0
41;2015-6;0.0
42;2015-7;0.0
43;2015-8;0.0
44;2015-9;0.0
45;2015-10;0.0
46;2015-11;0.0
47;2015-12;0.0
48;2016-1;0.0
49;2016-2;0.0
50;2016-3;0.0
51;2016-4;0.0
52;2016-5;0.0
53;2016-6;0.0
54;2016-7;0.0
55;2016-8;0.0
56;2016-9;0.0
57;2016-10;0.0
58;2016-11;0.0
59;2016-12;0.0
60;2017-1;0.0
61;2017-2;0.0
62;2017-3;0.0
63;2017-4;0.0
64;2017-5;0.0
65;2017-6;0.0
66;2017-7;0.0
67;2017-8;0.0
68;2017-9;0.0
69;2017-10;0.0
70;2017-11;0.0
71;2017-12;0.0
72;2018-1;0.0
73;2018-2;0.0
74;2018-3;0.0
75;2018-4;0.0
76;2018-5;0.0
77;2018-6;0.0
78;2018-7;0.0
79;2018-8;0.0
80;2018-9;0.0
81;2018-10;0.0
82;2018-11;0.0
83;2018-12;0.0
84;2019-1;0.0
85;2019-2;0.0
86;2019-3;0.0
87;2019-4;0.0
88;2019-5;0.0
89;2019-6;0.0
90;2019-7;0.0
91;2019-8;0.0
92;2019-9;0.0
93;2019-10;0.0
94;2019-11;0.0
95;2019-12;0.0
96;2020-1;0.0
97;2020-2;0.0
98;2020-3;0.0
99;2020-4;0.0
100;2020-5;0.0
101;2020-6;0.0
102;2020-7;0.0
103;2020-8;0.0
104;2020-9;0.0
105;2020-10;0.0
106;2020-11;0.0
107;2020-12;0.0
108;2021-1;0.0
109;2021-2;0.0
110;2021-3;0.0
111;2021-4;0.0
112;2021-5;0.0
113;2021-6;0.0
114;2021-7;0.0
115;2021-8;0.0
116;2021-9;0.0
117;2021-10;0.0
