;Tarih;TP_TUFE1YI_T66
0;1994-1;0.9301039802
1;1994-2;1.0219661017
2;1994-3;0.9702936583
3;1994-4;1.5243370786
4;1994-5;1.6406000762
5;1994-6;1.6477768044
6;1994-7;1.6161992001
7;1994-8;1.600410398
8;1994-9;1.5788802133
9;1994-10;1.5573500286
10;1994-11;1.5559146829
11;1994-12;1.5803155589
12;1995-1;1.7525570367
13;1995-2;1.8027941344
14;1995-3;1.8401131213
15;1995-4;1.865949343
16;1995-5;1.9161864407
17;1995-6;2.045367549
18;1995-7;2.1601952009
19;1995-8;2.1745486574
20;1995-9;2.2190443725
21;1995-10;2.3740617025
22;1995-11;2.5032428109
23;1995-12;2.6381653019
24;1996-1;2.9941310227
25;1996-2;3.3529674348
26;1996-3;3.4505709389
27;1996-4;3.654390021
28;1996-5;3.7405107599
29;1996-6;3.7792650924
30;1996-7;3.833808227
31;1996-8;3.8682565226
32;1996-9;4.0806876786
33;1996-10;4.2270929347
34;1996-11;4.4940672253
35;1996-12;4.7495587508
36;1997-1;4.7911837746
37;1997-2;5.0897356695
38;1997-3;5.8375507523
39;1997-4;5.9796499715
40;1997-5;6.0313224149
41;1997-6;6.0298870692
42;1997-7;6.5724477243
43;1997-8;6.8796116931
44;1997-9;7.6432155781
45;1997-10;8.0953494574
46;1997-11;8.5388712628
47;1997-12;9.8479064942
48;1998-1;10.4464456296
49;1998-2;10.7421268332
50;1998-3;10.9617347174
51;1998-4;11.9291576845
52;1998-5;12.2765113314
53;1998-6;12.4200458963
54;1998-7;12.8707444299
55;1998-8;13.1850851269
56;1998-9;13.7448699298
57;1998-10;14.5142151974
58;1998-11;14.8414740052
59;1998-12;15.1012715676
60;1999-1;15.1601207392
61;1999-2;15.9208539329
62;1999-3;16.414612836
63;1999-4;17.8973248909
64;1999-5;18.9680927446
65;1999-6;19.1403342224
66;1999-7;19.1776532093
67;1999-8;21.3206242625
68;1999-9;21.3679906689
69;1999-10;21.5488442206
70;1999-11;22.2421161688
71;1999-12;22.7143448872
72;2000-1;24.2286345463
73;2000-2;24.5372338607
74;2000-3;25.1271609223
75;2000-4;25.6654155404
76;2000-5;25.7142172925
77;2000-6;26.1850106652
78;2000-7;26.4189720059
79;2000-8;26.5036573992
80;2000-9;26.729006666
81;2000-10;27.1151146454
82;2000-11;28.3968783095
83;2000-12;28.4284559138
84;2001-1;28.8935079039
85;2001-2;28.4385033333
86;2001-3;32.3053245103
87;2001-4;36.4218958302
88;2001-5;38.2390434211
89;2001-6;39.5193717396
90;2001-7;40.6891784431
91;2001-8;43.7995724633
92;2001-9;45.3210388507
93;2001-10;49.9256276911
94;2001-11;55.7244241109
95;2001-12;65.2996149319
96;2002-1;64.217364313
97;2002-2;65.1230674172
98;2002-3;65.7833264155
99;2002-4;83.7050521824
100;2002-5;84.5720009541
101;2002-6;86.3532649039
102;2002-7;87.9723347954
103;2002-8;87.9120502781
104;2002-9;88.4388221311
105;2002-10;89.3488312722
106;2002-11;89.9617238641
107;2002-12;90.8229312532
108;2003-1;92.3070786538
109;2003-2;91.5040747944
110;2003-3;92.7997007028
111;2003-4;96.7586495948
112;2003-5;97.107255024
113;2003-6;98.0551808645
114;2003-7;101.4109386569
115;2003-8;103.5677712711
116;2003-9;106.682217048
117;2003-10;106.9341844091
118;2003-11;106.3141870731
119;2003-12;106.558761907
120;2004-1;100.2731376531
121;2004-2;100.7774238048
122;2004-3;100.2226940496
123;2004-4;101.6419156755
124;2004-5;104.5476884634
125;2004-6;106.6377065272
126;2004-7;107.245948681
127;2004-8;112.6045157429
128;2004-9;107.2507173109
129;2004-10;109.7606326821
130;2004-11;109.6282265432
131;2004-12;109.5250302284
132;2005-1;111.53
133;2005-2;112.27
134;2005-3;113.13
135;2005-4;114.08
136;2005-5;118.98
137;2005-6;115.63
138;2005-7;119.41
139;2005-8;120.76
140;2005-9;115.67
141;2005-10;116.61
142;2005-11;117.14
143;2005-12;117.0
144;2006-1;116.6
145;2006-2;116.44
146;2006-3;117.47
147;2006-4;118.19
148;2006-5;121.38
149;2006-6;127.06
150;2006-7;132.7
151;2006-8;127.6
152;2006-9;127.36
153;2006-10;127.0
154;2006-11;127.07
155;2006-12;125.61
156;2007-1;127.25
157;2007-2;124.61
158;2007-3;125.07
159;2007-4;123.84
160;2007-5;122.7
161;2007-6;118.92
162;2007-7;117.1
163;2007-8;123.0
164;2007-9;120.51
165;2007-10;117.16
166;2007-11;116.14
167;2007-12;121.28
168;2008-1;125.44
169;2008-2;123.43
170;2008-3;131.27
171;2008-4;136.75
172;2008-5;133.69
173;2008-6;136.97
174;2008-7;137.5
175;2008-8;136.37
176;2008-9;147.07
177;2008-10;169.94
178;2008-11;175.4
179;2008-12;168.84
180;2009-1;178.0
181;2009-2;175.21
182;2009-3;175.52
183;2009-4;169.05
184;2009-5;167.64
185;2009-6;168.11
186;2009-7;164.55
187;2009-8;162.24
188;2009-9;163.33
189;2009-10;160.43
190;2009-11;161.28
191;2009-12;162.71
192;2010-1;162.16
193;2010-2;168.45
194;2010-3;166.24
195;2010-4;160.64
196;2010-5;164.56
197;2010-6;167.34
198;2010-7;166.52
199;2010-8;167.73
200;2010-9;165.94
201;2010-10;163.59
202;2010-11;162.96
203;2010-12;166.02
204;2011-1;170.38
205;2011-2;174.64
206;2011-3;172.4
207;2011-4;167.61
208;2011-5;174.12
209;2011-6;175.44
210;2011-7;184.67
211;2011-8;195.12
212;2011-9;195.9
213;2011-10;199.98
214;2011-11;196.08
215;2011-12;199.35
216;2012-1;197.45
217;2012-2;194.44
218;2012-3;195.23
219;2012-4;194.15
220;2012-5;196.96
221;2012-6;197.84
222;2012-7;196.11
223;2012-8;194.8
224;2012-9;195.27
225;2012-10;195.73
226;2012-11;194.99
227;2012-12;194.38
228;2013-1;193.64
229;2013-2;194.63
230;2013-3;195.97
231;2013-4;195.6
232;2013-5;197.37
233;2013-6;200.99
234;2013-7;204.42
235;2013-8;222.51
236;2013-9;225.28
237;2013-10;226.42
238;2013-11;228.62
239;2013-12;232.68
240;2014-1;258.51
241;2014-2;259.76
242;2014-3;261.31
243;2014-4;261.58
244;2014-5;263.05
245;2014-6;265.52
246;2014-7;265.04
247;2014-8;268.15
248;2014-9;273.2
249;2014-10;279.41
250;2014-11;282.56
251;2014-12;281.58
252;2015-1;284.17
253;2015-2;279.73
254;2015-3;300.93
255;2015-4;303.52
256;2015-5;308.78
257;2015-6;312.29
258;2015-7;309.79
259;2015-8;353.7
260;2015-9;368.53
261;2015-10;363.3
262;2015-11;363.87
263;2015-12;365.22
264;2016-1;387.58
265;2016-2;389.19
266;2016-3;378.38
267;2016-4;381.92
268;2016-5;391.32
269;2016-6;389.58
270;2016-7;393.75
271;2016-8;388.28
272;2016-9;401.33
273;2016-10;407.74
274;2016-11;418.29
275;2016-12;419.93
276;2017-1;449.13
277;2017-2;438.96
278;2017-3;434.02
279;2017-4;440.25
280;2017-5;436.12
281;2017-6;441.22
282;2017-7;450.99
283;2017-8;457.16
284;2017-9;457.54
285;2017-10;469.94
286;2017-11;553.68
287;2017-12;559.25
288;2018-1;599.31
289;2018-2;603.34
290;2018-3;622.13
291;2018-4;635.06
292;2018-5;679.55
293;2018-6;678.82
294;2018-7;691.6
295;2018-8;785.83
296;2018-9;874.82
297;2018-10;859.2
298;2018-11;835.91
299;2018-12;829.88
300;2019-1;854.54
301;2019-2;832.33
302;2019-3;848.17
303;2019-4;873.87
304;2019-5;883.73
305;2019-6;849.51
306;2019-7;832.43
307;2019-8;831.46
308;2019-9;829.2
309;2019-10;830.15
310;2019-11;834.58
311;2019-12;843.88
312;2020-1;861.34
313;2020-2;860.48
314;2020-3;868.59
315;2020-4;898.76
316;2020-5;903.87
317;2020-6;900.64
318;2020-7;912.17
319;2020-8;937.42
320;2020-9;965.51
321;2020-10;983.62
322;2020-11;997.94
323;2020-12;981.51
324;2021-1;957.28
325;2021-2;957.47
326;2021-3;1017.23
327;2021-4;1075.17
328;2021-5;1108.02
329;2021-6;1137.22
330;2021-7;1146.09
331;2021-8;1140.86
332;2021-9;1141.54
333;2021-10;1240.45
334;2021-11;1494.03
335;2021-12;1875.42
336;2022-1;1989.98
337;2022-2;2080.34
338;2022-3;2235.74
339;2022-4;2361.63
340;2022-5;2592.54
341;2022-6;2803.0
342;2022-7;2805.82
343;2022-8;2923.43
344;2022-9;3073.42
345;2022-10;3124.44
346;2022-11;3237.55
347;2022-12;3289.37
348;2023-1;3307.56
349;2023-2;3288.47
350;2023-3;3357.0
351;2023-4;3403.35
352;2023-5;3490.73
353;2023-6;3838.93
354;2023-7;4310.9
355;2023-8;4386.44
356;2023-9;4425.73
357;2023-10;4454.39
358;2023-11;4560.76
359;2023-12;4597.29
360;2024-1;4597.05
