;Tarih;TP_SANAYREV11_Y1
212;2022-9;139.9152353462
213;2022-10;143.4781797036
214;2022-11;142.5625865419
215;2022-12;144.1341393563
216;2023-1;146.78755838
217;2023-2;137.9894968439
218;2023-3;145.9894602531
219;2023-4;144.5148656086
220;2023-5;146.5022405138
221;2023-6;148.0876935298
222;2023-7;147.42630963
223;2023-8;146.188629182
224;2023-9;146.0150755056
225;2023-10;145.6346662103
226;2023-11;143.563781096
