;Tarih;TP_TUFE1YI_T121
0;1994-1;0.4192804789
1;1994-2;0.450280884
2;1994-3;0.450280884
3;1994-4;0.450280884
4;1994-5;0.5626573525
5;1994-6;0.5626573525
6;1994-7;0.5626573525
7;1994-8;1.1284147455
8;1994-9;1.1284147455
9;1994-10;1.1284147455
10;1994-11;1.2276160418
11;1994-12;1.2276160418
12;1995-1;1.2276160418
13;1995-2;1.4128434623
14;1995-3;1.4128434623
15;1995-4;1.4128434623
16;1995-5;1.7406727462
17;1995-6;1.7406727462
18;1995-7;1.7406727462
19;1995-8;1.9437253996
20;1995-9;1.9437253996
21;1995-10;1.9437253996
22;1995-11;2.1816535087
23;1995-12;2.1816535087
24;1996-1;2.1816535087
25;1996-2;2.37153099
26;1996-3;2.37153099
27;1996-4;2.37153099
28;1996-5;3.1054655807
29;1996-6;3.1054655807
30;1996-7;3.1054655807
31;1996-8;3.5789967685
32;1996-9;3.83087506
33;1996-10;3.9409264981
34;1996-11;4.2145050731
35;1996-12;4.3695070985
36;1997-1;4.5694597114
37;1997-2;4.736861899
38;1997-3;5.035240798
39;1997-4;5.3653951123
40;1997-5;6.300057326
41;1997-6;6.7542132607
42;1997-7;7.0866926054
43;1997-8;7.4439722742
44;1997-9;7.8671278038
45;1997-10;8.1515565205
46;1997-11;7.9554789583
47;1997-12;8.3871595993
48;1998-1;8.9118414556
49;1998-2;9.0714935418
50;1998-3;9.7124269172
51;1998-4;10.4238862142
52;1998-5;11.0686946403
53;1998-6;11.6786276106
54;1998-7;12.1692090213
55;1998-8;12.1901342947
56;1998-9;12.6535903509
57;1998-10;12.8690431664
58;1998-11;13.0062199589
59;1998-12;13.3092489187
60;1999-1;13.2704984124
61;1999-2;14.6073908822
62;1999-3;14.8329188293
63;1999-4;15.5467031567
64;1999-5;17.2315751738
65;1999-6;17.7128564629
66;1999-7;18.4739164081
67;1999-8;19.2435014647
68;1999-9;19.7464830374
69;1999-10;20.4649174255
70;1999-11;21.7692594701
71;1999-12;23.0077256537
72;2000-1;24.7235980759
73;2000-2;26.0287151305
74;2000-3;29.7441136816
75;2000-4;30.4571229988
76;2000-5;31.656063666
77;2000-6;33.4943876883
78;2000-7;33.9206432584
79;2000-8;36.8532815807
80;2000-9;35.2722609207
81;2000-10;35.8186430606
82;2000-11;37.6492169816
83;2000-12;39.4712657913
84;2001-1;42.9998869016
85;2001-2;47.2980930684
86;2001-3;54.9303928036
87;2001-4;64.0879124696
88;2001-5;69.1324533893
89;2001-6;71.5574600781
90;2001-7;76.9220801803
91;2001-8;78.2922980856
92;2001-9;80.2879491638
93;2001-10;86.9359860372
94;2001-11;90.5056826842
95;2001-12;89.2431911866
96;2002-1;88.1946024842
97;2002-2;79.042507889
98;2002-3;77.0925824083
99;2002-4;75.3875601279
100;2002-5;73.2663574091
101;2002-6;75.6169631257
102;2002-7;81.918570472
103;2002-8;93.593323032
104;2002-9;93.6250984472
105;2002-10;95.909828303
106;2002-11;99.3190978536
107;2002-12;95.046467021
108;2003-1;99.1416205345
109;2003-2;101.7811653087
110;2003-3;101.5937014974
111;2003-4;105.607724616
112;2003-5;107.8723981722
113;2003-6;109.0821404316
114;2003-7;103.2729590975
115;2003-8;98.6803052546
116;2003-9;94.4081141924
117;2003-10;94.0531645434
118;2003-11;92.8882763005
119;2003-12;91.6184300505
120;2004-1;89.1442421123
121;2004-2;80.9467772361
122;2004-3;80.6267961234
123;2004-4;80.1909178923
124;2004-5;83.3396841467
125;2004-6;84.342911873
126;2004-7;84.7843884092
127;2004-8;87.1768968768
128;2004-9;88.2178034848
129;2004-10;88.370999639
130;2004-11;94.7522879754
131;2004-12;96.0224811017
132;2005-1;96.6
133;2005-2;97.96
134;2005-3;96.99
135;2005-4;100.16
136;2005-5;102.06
137;2005-6;101.31
138;2005-7;101.23
139;2005-8;109.45
140;2005-9;111.0
141;2005-10;114.08
142;2005-11;121.02
143;2005-12;125.14
144;2006-1;124.81
145;2006-2;125.98
146;2006-3;125.49
147;2006-4;131.29
148;2006-5;130.2
149;2006-6;140.58
150;2006-7;150.55
151;2006-8;149.71
152;2006-9;155.27
153;2006-10;155.28
154;2006-11;155.24
155;2006-12;161.4
156;2007-1;158.05
157;2007-2;154.09
158;2007-3;152.78
159;2007-4;152.13
160;2007-5;152.51
161;2007-6;150.09
162;2007-7;149.03
163;2007-8;148.65
164;2007-9;148.67
165;2007-10;145.05
166;2007-11;143.87
167;2007-12;143.98
168;2008-1;145.69
169;2008-2;153.37
170;2008-3;163.9
171;2008-4;168.22
172;2008-5;174.2
173;2008-6;170.45
174;2008-7;186.48
175;2008-8;196.77
176;2008-9;220.58
177;2008-10;221.07
178;2008-11;245.65
179;2008-12;283.68
180;2009-1;280.37
181;2009-2;280.58
182;2009-3;249.21
183;2009-4;243.91
184;2009-5;215.61
185;2009-6;167.08
186;2009-7;167.12
187;2009-8;164.59
188;2009-9;162.77
189;2009-10;157.71
190;2009-11;163.86
191;2009-12;165.98
192;2010-1;166.25
193;2010-2;175.01
194;2010-3;179.49
195;2010-4;177.94
196;2010-5;179.21
197;2010-6;179.82
198;2010-7;183.21
199;2010-8;187.98
200;2010-9;188.76
201;2010-10;190.33
202;2010-11;190.7
203;2010-12;196.33
204;2011-1;199.06
205;2011-2;201.22
206;2011-3;202.11
207;2011-4;198.61
208;2011-5;204.94
209;2011-6;210.66
210;2011-7;212.16
211;2011-8;217.42
212;2011-9;224.29
213;2011-10;227.62
214;2011-11;249.06
215;2011-12;251.12
216;2012-1;254.66
217;2012-2;245.44
218;2012-3;233.4
219;2012-4;248.78
220;2012-5;279.3
221;2012-6;287.37
222;2012-7;277.69
223;2012-8;274.67
224;2012-9;277.04
225;2012-10;272.58
226;2012-11;344.49
227;2012-12;340.26
228;2013-1;332.12
229;2013-2;290.82
230;2013-3;298.73
231;2013-4;296.53
232;2013-5;292.03
233;2013-6;298.67
234;2013-7;300.19
235;2013-8;291.45
236;2013-9;300.54
237;2013-10;297.59
238;2013-11;297.72
239;2013-12;298.72
240;2014-1;298.24
241;2014-2;311.34
242;2014-3;308.5
243;2014-4;315.89
244;2014-5;301.51
245;2014-6;298.61
246;2014-7;302.38
247;2014-8;297.28
248;2014-9;299.35
249;2014-10;310.65
250;2014-11;323.32
251;2014-12;318.9
252;2015-1;327.4
253;2015-2;325.26
254;2015-3;328.13
255;2015-4;341.4
256;2015-5;320.52
257;2015-6;319.94
258;2015-7;316.81
259;2015-8;303.14
260;2015-9;311.4
261;2015-10;312.05
262;2015-11;299.52
263;2015-12;300.93
264;2016-1;299.11
265;2016-2;281.03
266;2016-3;277.72
267;2016-4;274.14
268;2016-5;260.44
269;2016-6;265.77
270;2016-7;264.11
271;2016-8;263.77
272;2016-9;264.06
273;2016-10;263.41
274;2016-11;247.48
275;2016-12;252.23
276;2017-1;257.18
277;2017-2;261.84
278;2017-3;260.07
279;2017-4;256.85
280;2017-5;257.1
281;2017-6;257.35
282;2017-7;256.41
283;2017-8;259.73
284;2017-9;257.82
285;2017-10;257.61
286;2017-11;238.7
287;2017-12;240.09
288;2018-1;219.93
289;2018-2;275.73
290;2018-3;272.71
291;2018-4;270.14
292;2018-5;300.51
293;2018-6;301.34
294;2018-7;301.79
295;2018-8;303.33
296;2018-9;417.92
297;2018-10;482.74
298;2018-11;512.25
299;2018-12;484.04
300;2019-1;485.9
301;2019-2;429.63
302;2019-3;426.72
303;2019-4;441.81
304;2019-5;452.6
305;2019-6;504.0
306;2019-7;520.3
307;2019-8;553.11
308;2019-9;582.8
309;2019-10;585.27
310;2019-11;578.42
311;2019-12;547.14
312;2020-1;538.55
313;2020-2;531.53
314;2020-3;529.19
315;2020-4;531.93
316;2020-5;531.25
317;2020-6;557.31
318;2020-7;587.18
319;2020-8;527.66
320;2020-9;525.67
321;2020-10;526.32
322;2020-11;523.43
323;2020-12;508.72
324;2021-1;546.8
325;2021-2;513.0
326;2021-3;518.0
327;2021-4;525.02
328;2021-5;537.45
329;2021-6;583.51
330;2021-7;612.73
331;2021-8;741.14
332;2021-9;745.87
333;2021-10;831.05
334;2021-11;896.46
335;2021-12;1139.8
336;2022-1;1145.64
337;2022-2;1444.73
338;2022-3;1553.73
339;2022-4;1585.48
340;2022-5;2976.47
341;2022-6;3338.63
342;2022-7;4167.44
343;2022-8;4236.29
344;2022-9;4678.42
345;2022-10;6719.6
346;2022-11;6224.42
347;2022-12;5010.65
348;2023-1;4282.93
349;2023-2;3795.62
350;2023-3;3290.66
351;2023-4;2972.45
352;2023-5;2678.93
353;2023-6;3452.89
354;2023-7;3240.24
355;2023-8;3468.45
356;2023-9;3540.1
357;2023-10;3476.13
358;2023-11;3888.88
359;2023-12;3235.53
360;2024-1;2892.59
