;Tarih;TP_FG_F01
262;2003-11;8951058.4
263;2003-12;9007594.5
264;2004-1;9057767.1
265;2004-2;9076979.1
266;2004-3;9176044.4
267;2004-4;9230465.7
268;2004-5;9158620.8
269;2004-6;9053000.2
270;2004-7;9049037.8
271;2004-8;9073151.1
272;2004-9;9117562.6
273;2004-10;9367679.1
274;2004-11;9541516.0
275;2004-12;9599091.3
