;Tarih;TP_BEKODTUFE_BT47
0;2017-11;5.03
1;2017-12;0.31
2;2018-1;3.37
3;2018-2;2.72
4;2018-3;2.61
5;2018-4;1.6
6;2018-5;1.16
7;2018-6;0.47
8;2018-7;0.0
9;2018-8;0.0
10;2018-9;0.0
11;2018-10;0.0
12;2018-11;0.0
13;2018-12;0.02
14;2019-1;0.0
15;2019-2;0.13
16;2019-3;0.0
17;2019-4;0.0
18;2019-5;0.0
19;2019-6;0.0
20;2019-7;0.0
21;2019-8;0.47
22;2019-9;1.53
23;2019-10;3.63
24;2019-11;2.66
25;2019-12;1.45
26;2020-1;1.84
27;2020-2;2.76
28;2020-3;1.85
29;2020-4;2.34
30;2020-5;4.57
31;2020-6;3.27
32;2020-7;3.32
33;2020-8;3.3
34;2020-9;1.79
35;2020-10;2.6909
36;2020-11;4.1379
37;2020-12;3.0588
38;2021-1;2.8121
39;2021-2;3.2
40;2021-3;4.3411
41;2021-4;2.8645
42;2021-5;3.1878
43;2021-6;1.9225
44;2021-7;0.3
45;2021-8;1.7103
46;2021-9;0.0
47;2021-10;0.0
48;2021-11;0.0
49;2021-12;0.0
50;2022-1;0.0
51;2022-2;0.0
52;2022-3;0.0
53;2022-4;0.0
54;2022-5;0.0
55;2022-6;0.0
56;2022-7;0.0
57;2022-8;0.0
58;2022-9;0.0
59;2022-10;0.0
60;2022-11;0.0
61;2022-12;0.0
62;2023-1;0.24
63;2023-2;0.0
64;2023-3;0.4167
65;2023-4;0.0
66;2023-5;0.0
67;2023-6;0.0
68;2023-7;0.0
69;2023-8;0.0
70;2023-9;0.0
71;2023-10;0.0
72;2023-11;0.0
