;Tarih;YEARWEEK;TP_BS12_NOMINAL
0;30-12-2011;2011-52;46488.2
1;06-01-2012;2012-1;46487.8
2;13-01-2012;2012-2;46396.9
3;20-01-2012;2012-3;45514.9
4;27-01-2012;2012-4;47177.9
5;03-02-2012;2012-5;47210.7
6;10-02-2012;2012-6;47289.7
7;17-02-2012;2012-7;48034.1
8;24-02-2012;2012-8;48222.6
9;02-03-2012;2012-9;48216.9
10;09-03-2012;2012-10;48124.3
11;16-03-2012;2012-11;49019.8
12;23-03-2012;2012-12;49124.2
13;30-03-2012;2012-13;49251.1
14;06-04-2012;2012-14;49110.7
15;13-04-2012;2012-15;49183.8
16;20-04-2012;2012-16;49149.2
17;27-04-2012;2012-17;49252.1
18;04-05-2012;2012-18;49215.4
19;11-05-2012;2012-19;49101.1
20;18-05-2012;2012-20;48887.1
21;25-05-2012;2012-21;48825.8
22;01-06-2012;2012-22;48733.5
23;08-06-2012;2012-23;48832.5
24;15-06-2012;2012-24;48831.8
25;22-06-2012;2012-25;48886.8
26;29-06-2012;2012-26;49734.4
27;06-07-2012;2012-27;48510.8
28;13-07-2012;2012-28;48335.5
29;20-07-2012;2012-29;48427.7
30;27-07-2012;2012-30;48376.9
31;03-08-2012;2012-31;48430.7
32;10-08-2012;2012-32;48454.0
33;17-08-2012;2012-33;48388.1
34;24-08-2012;2012-34;48598.0
35;31-08-2012;2012-35;48595.9
36;07-09-2012;2012-36;48640.5
37;14-09-2012;2012-37;48869.0
38;21-09-2012;2012-38;48874.7
39;28-09-2012;2012-39;50338.9
40;05-10-2012;2012-40;50350.5
41;12-10-2012;2012-41;50334.6
42;19-10-2012;2012-42;50427.1
43;26-10-2012;2012-43;50347.1
44;02-11-2012;2012-44;50294.3
45;09-11-2012;2012-45;50159.6
46;16-11-2012;2012-46;50122.1
47;23-11-2012;2012-47;50132.0
48;30-11-2012;2012-48;50227.9
49;07-12-2012;2012-49;50270.9
50;14-12-2012;2012-50;51229.8
51;21-12-2012;2012-51;51321.9
52;28-12-2012;2012-52;51272.8
53;04-01-2013;2013-1;51131.0
54;11-01-2013;2013-2;52571.4
55;18-01-2013;2013-3;51207.8
56;25-01-2013;2013-4;51179.86
57;01-02-2013;2013-5;51278.43
58;08-02-2013;2013-6;51391.56
59;15-02-2013;2013-7;51265.29
60;22-02-2013;2013-8;51171.17
61;01-03-2013;2013-9;51156.26
62;08-03-2013;2013-10;51025.87
63;15-03-2013;2013-11;50900.47
64;22-03-2013;2013-12;50913.56
65;29-03-2013;2013-13;50878.64
66;05-04-2013;2013-14;50847.61
67;12-04-2013;2013-15;50914.05
68;19-04-2013;2013-16;52420.41
69;26-04-2013;2013-17;52398.43
70;03-05-2013;2013-18;52520.1
71;10-05-2013;2013-19;52464.8
72;17-05-2013;2013-20;52183.1
73;24-05-2013;2013-21;52213.7
74;31-05-2013;2013-22;52283.4
75;07-06-2013;2013-23;52435.9
76;14-06-2013;2013-24;52731.3
77;21-06-2013;2013-25;52535.0
78;28-06-2013;2013-26;52407.5
79;05-07-2013;2013-27;52338.9
80;12-07-2013;2013-28;52388.2
81;19-07-2013;2013-29;52405.6
82;26-07-2013;2013-30;52468.4
83;02-08-2013;2013-31;52527.9
84;09-08-2013;2013-32;52563.1
85;16-08-2013;2013-33;52576.9
86;23-08-2013;2013-34;52593.2
87;30-08-2013;2013-35;52646.3
88;06-09-2013;2013-36;52465.5
89;13-09-2013;2013-37;52540.7
90;20-09-2013;2013-38;52722.6
91;27-09-2013;2013-39;52696.6
