;Tarih;TP_BEK_S05_C_U
0;2013-1;1.8407
1;2013-2;1.8298
2;2013-3;1.8369
3;2013-4;1.8372
4;2013-5;1.8397
5;2013-6;1.8939
6;2013-7;1.951
7;2013-8;1.9587
8;2013-9;2.0324
9;2013-10;2.0393
10;2013-11;2.0814
11;2013-12;2.0832
12;2014-1;2.2366
13;2014-2;2.2526
14;2014-3;2.2565
15;2014-4;2.2473
16;2014-5;2.2165
17;2014-6;2.2267
18;2014-7;2.2257
19;2014-8;2.2576
20;2014-9;2.3066
21;2014-10;2.3499
22;2014-11;2.3478
23;2014-12;2.4099
24;2015-1;2.4446
25;2015-2;2.54
26;2015-3;2.6521
27;2015-4;2.7609
28;2015-5;2.7672
29;2015-6;2.8514
30;2015-7;2.8213
31;2015-8;2.8864
32;2015-9;3.1547
33;2015-10;3.12
34;2015-11;3.0741
35;2015-12;3.1044
36;2016-1;3.2306
37;2016-2;3.2108
38;2016-3;3.1985
39;2016-4;3.1786
40;2016-5;3.2176
41;2016-6;3.2086
42;2016-7;3.1888
43;2016-8;3.1948
44;2016-9;3.1913
45;2016-10;3.2559
46;2016-11;3.4996
47;2016-12;3.6317
48;2017-1;3.9553
49;2017-2;3.96
50;2017-3;3.9194
51;2017-4;3.9385
52;2017-5;3.9395
53;2017-6;3.9042
54;2017-7;3.9043
55;2017-8;3.8717
56;2017-9;3.8255
57;2017-10;3.8757
58;2017-11;4.0819
59;2017-12;4.1534
60;2018-1;4.2392
61;2018-2;4.1774
62;2018-3;4.1877
63;2018-4;4.3306
64;2018-5;4.5776
65;2018-6;4.7805
66;2018-7;5.0592
67;2018-8;6.2948
68;2018-9;7.0786
69;2018-10;6.5307
70;2018-11;6.3709
71;2018-12;6.2472
72;2019-1;6.3049
73;2019-2;6.1659
74;2019-3;6.2996
75;2019-4;6.4287
76;2019-5;6.6824
77;2019-6;6.6361
78;2019-7;6.4664
79;2019-8;6.2734
80;2019-9;6.347
81;2019-10;6.4097
82;2019-11;6.3239
83;2019-12;6.3527
84;2020-1;6.4328
85;2020-2;6.5108
86;2020-3;6.6606
87;2020-4;7.1104
88;2020-5;7.2204
89;2020-6;7.2208
90;2020-7;7.258
91;2020-8;7.6751
92;2020-9;7.9372
93;2020-10;8.3087
94;2020-11;8.4099
95;2020-12;8.3733
96;2021-1;8.1605
97;2021-2;7.9427
98;2021-3;8.197
99;2021-4;8.7826
100;2021-5;8.9529
101;2021-6;9.2309
102;2021-7;9.3365
103;2021-8;9.3688
104;2021-9;9.5588
105;2021-10;10.007
106;2021-11;10.9272
107;2021-12;15.5594
108;2022-1;16.8547
109;2022-2;16.6245
110;2022-3;17.4231
111;2022-4;17.8419
112;2022-5;18.4684
113;2022-6;20.7002
114;2022-7;20.9207
115;2022-8;22.0257
116;2022-9;22.0688
117;2022-10;23.6064
118;2022-11;23.3533
119;2022-12;22.7681
120;2023-1;23.4344
121;2023-2;23.1029
122;2023-3;23.5209
123;2023-4;24.0815
124;2023-5;24.6117
125;2023-6;28.9948
126;2023-7;31.4246
127;2023-8;34.576
128;2023-9;37.2617
129;2023-10;38.6445
130;2023-11;39.6182
131;2023-12;39.459
132;2024-1;40.637
