;Tarih;TP_SANAYREV4_Y1
0;2005-1;49.9160960938
1;2005-2;51.2589069433
2;2005-3;58.721276545
3;2005-4;56.6345375107
4;2005-5;59.082966289
5;2005-6;60.9997013869
6;2005-7;59.5850588493
7;2005-8;59.5334714084
8;2005-9;64.9782753987
9;2005-10;66.4378110633
10;2005-11;60.8434485526
11;2005-12;67.3834646611
12;2006-1;50.4926746654
13;2006-2;55.8191290769
14;2006-3;65.9332323687
15;2006-4;62.5018689543
16;2006-5;66.4998384145
17;2006-6;67.5198597178
18;2006-7;65.1791917947
19;2006-8;63.4177967384
20;2006-9;67.9478725868
21;2006-10;63.8474799433
22;2006-11;69.5539405241
23;2006-12;69.0760369201
24;2007-1;60.1866401241
25;2007-2;60.7986982684
26;2007-3;69.9930102741
27;2007-4;66.236604201
28;2007-5;71.4317518525
29;2007-6;70.7234432604
30;2007-7;69.155893118
31;2007-8;68.4598736034
32;2007-9;70.8688910453
33;2007-10;70.3457565881
34;2007-11;75.311759568
35;2007-12;67.9878300414
36;2008-1;66.9474058113
37;2008-2;66.3662464376
38;2008-3;72.4504755906
39;2008-4;71.2086025535
40;2008-5;73.5675057481
41;2008-6;72.3694954564
42;2008-7;72.1845098428
43;2008-8;66.134483774
44;2008-9;68.0482104759
45;2008-10;65.8858710395
46;2008-11;65.6045908221
47;2008-12;56.1492513699
48;2009-1;52.5220215535
49;2009-2;50.453891987
50;2009-3;56.8952974364
51;2009-4;57.7910621652
52;2009-5;60.996911628
53;2009-6;65.1960236008
54;2009-7;65.7875305487
55;2009-8;61.8392397752
56;2009-9;61.4903601885
57;2009-10;69.9746313493
58;2009-11;63.6486967137
59;2009-12;69.5783309227
60;2010-1;56.8443136345
61;2010-2;57.5069906164
62;2010-3;68.0836186459
63;2010-4;66.1156783919
64;2010-5;69.0530264195
65;2010-6;72.1722008842
66;2010-7;72.6921409572
67;2010-8;70.0427635617
68;2010-9;67.7019666035
69;2010-10;77.3048800919
70;2010-11;70.0268950385
71;2010-12;85.1153861683
72;2011-1;70.722680157
73;2011-2;68.5442431697
74;2011-3;79.0326318302
75;2011-4;76.0318851206
76;2011-5;79.5491561668
77;2011-6;82.9769176181
78;2011-7;81.8778201431
79;2011-8;78.8845833879
80;2011-9;80.9084045393
81;2011-10;89.8609554698
82;2011-11;80.1414859628
83;2011-12;92.0871664014
84;2012-1;74.9750364729
85;2012-2;73.3941195971
86;2012-3;83.7668325538
87;2012-4;80.298054707
88;2012-5;86.8122079398
89;2012-6;86.1474031849
90;2012-7;85.4264127938
91;2012-8;76.446000069
92;2012-9;87.1030016815
93;2012-10;84.8417568056
94;2012-11;91.3803930724
95;2012-12;91.6681652266
96;2013-1;78.1772570455
97;2013-2;77.0438268076
98;2013-3;85.9444758856
99;2013-4;87.0789327223
100;2013-5;91.8790277953
101;2013-6;91.2180500346
102;2013-7;93.6928056667
103;2013-8;77.5870954669
104;2013-9;96.3100873406
105;2013-10;87.7344924146
106;2013-11;100.3878690622
107;2013-12;100.9244194658
108;2014-1;87.5431059101
109;2014-2;83.3620268199
110;2014-3;93.8930175916
111;2014-4;92.8900932503
112;2014-5;94.2620696833
113;2014-6;95.7113850371
114;2014-7;90.6443903076
