;Tarih;YEARWEEK;TP_BS03_CARI
0;30-12-2011;2011-52;14353.8
1;06-01-2012;2012-1;14060.9
2;13-01-2012;2012-2;14001.0
3;20-01-2012;2012-3;14021.7
4;27-01-2012;2012-4;14320.5
5;03-02-2012;2012-5;14316.5
6;10-02-2012;2012-6;14410.7
7;17-02-2012;2012-7;14886.0
8;24-02-2012;2012-8;15318.1
9;02-03-2012;2012-9;15272.7
10;09-03-2012;2012-10;15318.2
11;16-03-2012;2012-11;15340.7
12;23-03-2012;2012-12;15175.6
13;30-03-2012;2012-13;15597.0
14;06-04-2012;2012-14;15379.4
15;13-04-2012;2012-15;15398.6
16;20-04-2012;2012-16;15626.9
17;27-04-2012;2012-17;16042.0
18;04-05-2012;2012-18;15960.4
19;11-05-2012;2012-19;15555.0
20;18-05-2012;2012-20;15747.5
21;25-05-2012;2012-21;15932.9
22;01-06-2012;2012-22;15905.4
23;08-06-2012;2012-23;16022.3
24;15-06-2012;2012-24;16336.7
25;22-06-2012;2012-25;16696.3
26;29-06-2012;2012-26;16782.3
27;06-07-2012;2012-27;16061.5
28;13-07-2012;2012-28;16067.9
29;20-07-2012;2012-29;16301.9
30;27-07-2012;2012-30;15747.5
31;03-08-2012;2012-31;15374.1
32;10-08-2012;2012-32;15800.5
33;17-08-2012;2012-33;16770.2
34;24-08-2012;2012-34;16085.4
35;31-08-2012;2012-35;16285.2
36;07-09-2012;2012-36;15913.0
37;14-09-2012;2012-37;15847.2
38;21-09-2012;2012-38;15884.2
39;28-09-2012;2012-39;16314.5
40;05-10-2012;2012-40;16338.2
41;12-10-2012;2012-41;15772.8
42;19-10-2012;2012-42;15430.7
43;26-10-2012;2012-43;15183.1
44;02-11-2012;2012-44;15300.6
45;09-11-2012;2012-45;15612.6
46;16-11-2012;2012-46;15597.6
47;23-11-2012;2012-47;15822.1
48;30-11-2012;2012-48;16158.8
49;07-12-2012;2012-49;16164.2
50;14-12-2012;2012-50;16829.6
51;21-12-2012;2012-51;16445.0
52;28-12-2012;2012-52;16035.7
53;04-01-2013;2013-1;16161.9
54;11-01-2013;2013-2;16338.2
55;18-01-2013;2013-3;15956.4
56;25-01-2013;2013-4;16105.94
57;01-02-2013;2013-5;16020.55
58;08-02-2013;2013-6;15999.23
59;15-02-2013;2013-7;15931.24
60;22-02-2013;2013-8;15864.28
61;01-03-2013;2013-9;16037.39
62;08-03-2013;2013-10;15925.71
63;15-03-2013;2013-11;15705.3
64;22-03-2013;2013-12;15628.52
65;29-03-2013;2013-13;16016.88
66;05-04-2013;2013-14;16235.6
67;12-04-2013;2013-15;16266.12
68;19-04-2013;2013-16;16417.7
69;26-04-2013;2013-17;16383.62
70;03-05-2013;2013-18;16498.9
71;10-05-2013;2013-19;16260.71
72;17-05-2013;2013-20;15932.4
73;24-05-2013;2013-21;15970.4
74;31-05-2013;2013-22;15830.8
75;07-06-2013;2013-23;15005.6
76;14-06-2013;2013-24;15162.6
77;21-06-2013;2013-25;14307.0
78;28-06-2013;2013-26;14626.9
79;05-07-2013;2013-27;14358.4
80;12-07-2013;2013-28;13947.6
81;19-07-2013;2013-29;14387.7
82;26-07-2013;2013-30;14264.5
83;02-08-2013;2013-31;14012.1
84;09-08-2013;2013-32;13944.0
85;16-08-2013;2013-33;13827.9
86;23-08-2013;2013-34;13639.6
87;30-08-2013;2013-35;13481.7
88;06-09-2013;2013-36;13488.9
89;13-09-2013;2013-37;13908.0
90;20-09-2013;2013-38;14480.7
91;27-09-2013;2013-39;14071.4
92;04-10-2013;2013-40;13808.1
93;11-10-2013;2013-41;14075.5
94;18-10-2013;2013-42;14076.7
95;25-10-2013;2013-43;14203.3
96;01-11-2013;2013-44;14153.8
97;08-11-2013;2013-45;14093.4
98;15-11-2013;2013-46;14245.3
99;22-11-2013;2013-47;14051.2
100;29-11-2013;2013-48;13914.1
101;06-12-2013;2013-49;13715.2
102;13-12-2013;2013-50;13904.14
103;20-12-2013;2013-51;13853.7
104;27-12-2013;2013-52;13720.5
105;03-01-2014;2014-1;13517.6
106;10-01-2014;2014-2;12702.2
107;17-01-2014;2014-3;13058.9
108;24-01-2014;2014-4;13051.8
109;31-01-2014;2014-5;13012.4
110;07-02-2014;2014-6;13277.2
111;14-02-2014;2014-7;12894.0
112;21-02-2014;2014-8;13202.0
113;28-02-2014;2014-9;13291.5
114;07-03-2014;2014-10;13587.7
115;14-03-2014;2014-11;13639.4
116;21-03-2014;2014-12;13530.0
117;28-03-2014;2014-13;13636.2
118;04-04-2014;2014-14;13891.0
119;11-04-2014;2014-15;14477.0
120;18-04-2014;2014-16;14464.1
121;25-04-2014;2014-17;14594.2
122;02-05-2014;2014-18;14731.5
123;09-05-2014;2014-19;15076.4
124;16-05-2014;2014-20;15078.3
125;23-05-2014;2014-21;15175.2
126;30-05-2014;2014-22;15339.0
127;06-06-2014;2014-23;15196.9
128;13-06-2014;2014-24;15195.55
129;20-06-2014;2014-25;15207.8
130;27-06-2014;2014-26;15190.5
131;04-07-2014;2014-27;14890.3
132;11-07-2014;2014-28;14994.3
133;18-07-2014;2014-29;14954.5
134;25-07-2014;2014-30;15164.7
135;01-08-2014;2014-31;14898.8
136;08-08-2014;2014-32;14899.1
137;15-08-2014;2014-33;15156.3
138;22-08-2014;2014-34;15048.8
139;29-08-2014;2014-35;15221.1
140;05-09-2014;2014-36;15209.3
141;12-09-2014;2014-37;15053.6
142;19-09-2014;2014-38;14881.5
143;26-09-2014;2014-39;14779.7
144;03-10-2014;2014-40;14639.4
145;10-10-2014;2014-41;14838.0
146;17-10-2014;2014-42;15031.9
147;24-10-2014;2014-43;15076.4
148;31-10-2014;2014-44;15188.9
149;07-11-2014;2014-45;15261.9
150;14-11-2014;2014-46;15389.9
151;21-11-2014;2014-47;15494.7
152;28-11-2014;2014-48;15431.2
153;05-12-2014;2014-49;15397.3
154;12-12-2014;2014-50;15062.8
155;19-12-2014;2014-51;14931.9
156;26-12-2014;2014-52;14944.9
157;02-01-2015;2015-1;14883.0
158;09-01-2015;2015-2;14797.2
159;16-01-2015;2015-3;15508.1
160;23-01-2015;2015-4;15327.8
161;30-01-2015;2015-5;15567.6
162;06-02-2015;2015-6;15350.4
163;13-02-2015;2015-7;15266.0
164;20-02-2015;2015-8;15484.2
165;27-02-2015;2015-9;15620.9
166;06-03-2015;2015-10;15398.7
167;13-03-2015;2015-11;15480.1
168;20-03-2015;2015-12;13742.2
169;27-03-2015;2015-13;13995.7
170;03-04-2015;2015-14;14031.3
