;Tarih;TP_04TR31
0;2010-1;98.53
1;2010-2;97.9
2;2010-3;97.91
3;2010-4;97.98
4;2010-5;98.39
5;2010-6;99.31
6;2010-7;99.71
7;2010-8;100.7
8;2010-9;101.15
9;2010-10;101.88
10;2010-11;102.69
11;2010-12;103.78
12;2011-1;104.89
13;2011-2;105.87
14;2011-3;107.07
15;2011-4;108.27
16;2011-5;110.19
17;2011-6;110.76
18;2011-7;111.54
19;2011-8;112.28
20;2011-9;114.21
21;2011-10;115.01
22;2011-11;115.12
23;2011-12;115.68
24;2012-1;117.51
25;2012-2;119.99
26;2012-3;120.01
27;2012-4;121.1
28;2012-5;123.37
29;2012-6;125.23
30;2012-7;126.49
31;2012-8;126.14
32;2012-9;127.15
33;2012-10;127.94
34;2012-11;128.85
35;2012-12;129.4
36;2013-1;129.15
37;2013-2;130.93
38;2013-3;132.72
39;2013-4;134.73
40;2013-5;136.26
41;2013-6;137.89
42;2013-7;139.11
43;2013-8;140.94
44;2013-9;142.07
45;2013-10;143.05
46;2013-11;144.85
47;2013-12;145.99
48;2014-1;146.85
49;2014-2;148.56
50;2014-3;150.49
51;2014-4;152.02
52;2014-5;153.15
53;2014-6;155.69
54;2014-7;157.69
55;2014-8;159.77
56;2014-9;160.56
57;2014-10;161.65
58;2014-11;163.54
59;2014-12;165.76
60;2015-1;166.95
61;2015-2;169.81
62;2015-3;172.51
63;2015-4;174.42
64;2015-5;176.92
65;2015-6;180.55
66;2015-7;185.78
67;2015-8;188.32
68;2015-9;188.97
69;2015-10;189.08
70;2015-11;191.06
71;2015-12;193.15
72;2016-1;194.75
73;2016-2;197.46
74;2016-3;201.36
75;2016-4;204.44
76;2016-5;207.86
77;2016-6;209.6
78;2016-7;213.31
79;2016-8;216.3
80;2016-9;218.57
81;2016-10;222.39
82;2016-11;224.31
83;2016-12;226.98
84;2017-1;232.43
85;2017-2;237.52
86;2017-3;240.07
87;2017-4;242.85
88;2017-5;246.26
89;2017-6;251.93
90;2017-7;255.07
91;2017-8;259.36
92;2017-9;261.93
93;2017-10;265.52
94;2017-11;267.9
95;2017-12;268.95
96;2018-1;272.47
97;2018-2;275.87
98;2018-3;279.7
99;2018-4;284.84
100;2018-5;290.14
101;2018-6;294.9
102;2018-7;297.41
103;2018-8;301.3
104;2018-9;299.54
105;2018-10;306.23
106;2018-11;300.44
107;2018-12;298.21
108;2019-1;281.9
