;Tarih;TP_BEKODTUFE_BT60
0;2017-11;0.24
1;2017-12;0.24
2;2018-1;0.0
3;2018-2;0.0
4;2018-3;0.0
5;2018-4;0.0
6;2018-5;0.0
7;2018-6;0.55
8;2018-7;2.41
9;2018-8;0.34
10;2018-9;0.9
11;2018-10;5.06
12;2018-11;6.91
13;2018-12;5.06
14;2019-1;4.69
15;2019-2;9.97
16;2019-3;6.15
17;2019-4;6.94
18;2019-5;9.7
19;2019-6;6.73
20;2019-7;5.83
21;2019-8;2.84
22;2019-9;1.45
23;2019-10;0.0
24;2019-11;0.81
25;2019-12;0.87
26;2020-1;0.69
27;2020-2;0.34
28;2020-3;0.0
29;2020-4;0.0
30;2020-5;0.0
31;2020-6;0.0
32;2020-7;0.0
33;2020-8;0.0
34;2020-9;0.32
35;2020-10;0.7636
36;2020-11;2.0275
37;2020-12;0.2941
38;2021-1;0.1575
39;2021-2;0.0
40;2021-3;0.0
41;2021-4;1.4967
42;2021-5;1.0666
43;2021-6;1.1225
44;2021-7;2.025
45;2021-8;2.262
46;2021-9;1.6625
47;2021-10;9.587
48;2021-11;7.424
49;2021-12;3.0133
50;2022-1;2.637
51;2022-2;3.8482
52;2022-3;3.3586
53;2022-4;0.9548
54;2022-5;0.1538
55;2022-6;2.5925
56;2022-7;2.2142
57;2022-8;0.0
58;2022-9;0.5
59;2022-10;1.3636
60;2022-11;0.0
61;2022-12;0.0
62;2023-1;0.0
63;2023-2;0.0
64;2023-3;0.8167
65;2023-4;2.0727
66;2023-5;1.0957
67;2023-6;1.3714
68;2023-7;1.3667
69;2023-8;0.0
70;2023-9;0.0
71;2023-10;0.0
72;2023-11;0.0
