;Tarih;TP_09TR41
0;2010-1;97.72
1;2010-2;98.12
2;2010-3;98.03
3;2010-4;98.32
4;2010-5;98.68
5;2010-6;99.42
6;2010-7;99.99
7;2010-8;100.69
8;2010-9;101.02
9;2010-10;101.69
10;2010-11;103.11
11;2010-12;103.15
12;2011-1;103.3
13;2011-2;103.51
14;2011-3;104.64
15;2011-4;105.16
16;2011-5;106.37
17;2011-6;107.44
18;2011-7;108.56
19;2011-8;108.45
20;2011-9;108.72
21;2011-10;108.44
22;2011-11;108.15
23;2011-12;108.64
24;2012-1;109.74
25;2012-2;111.65
26;2012-3;112.11
27;2012-4;112.93
28;2012-5;113.78
29;2012-6;114.17
30;2012-7;114.44
31;2012-8;115.75
32;2012-9;116.52
33;2012-10;117.31
34;2012-11;117.76
35;2012-12;118.52
36;2013-1;119.34
37;2013-2;120.63
38;2013-3;121.73
39;2013-4;122.96
40;2013-5;124.17
41;2013-6;125.33
42;2013-7;126.42
43;2013-8;126.84
44;2013-9;127.66
45;2013-10;128.37
46;2013-11;128.56
47;2013-12;129.41
48;2014-1;130.29
49;2014-2;131.96
50;2014-3;132.4
51;2014-4;133.68
52;2014-5;134.31
53;2014-6;137.32
54;2014-7;139.05
55;2014-8;140.32
56;2014-9;140.85
57;2014-10;142.37
58;2014-11;143.2
59;2014-12;144.26
60;2015-1;145.75
61;2015-2;147.65
62;2015-3;149.54
63;2015-4;150.79
64;2015-5;151.4
65;2015-6;152.68
66;2015-7;154.76
67;2015-8;157.99
68;2015-9;158.82
69;2015-10;160.51
70;2015-11;161.25
71;2015-12;163.35
72;2016-1;162.54
73;2016-2;164.42
74;2016-3;166.74
75;2016-4;170.21
76;2016-5;173.32
77;2016-6;175.75
78;2016-7;177.92
79;2016-8;181.5
80;2016-9;183.89
81;2016-10;185.51
82;2016-11;187.5
83;2016-12;189.94
84;2017-1;193.71
85;2017-2;197.41
86;2017-3;199.69
87;2017-4;201.44
88;2017-5;203.97
89;2017-6;208.5
90;2017-7;211.93
91;2017-8;214.75
92;2017-9;215.88
93;2017-10;217.39
94;2017-11;218.51
95;2017-12;222.21
96;2018-1;225.45
97;2018-2;228.85
98;2018-3;230.83
99;2018-4;235.21
100;2018-5;240.09
101;2018-6;242.53
102;2018-7;244.17
103;2018-8;242.42
104;2018-9;244.04
105;2018-10;245.12
106;2018-11;245.77
107;2018-12;241.98
108;2019-1;242.0
